New Car Price (1982),"$14,000 ",,,,,,,,,,,,,,,,,,,,,
Gas Price (1982),$1.31 ,,,,,,,,,,,,,,,,,,,,,
Miles per year,13476,,,,,,,,,,,,,,,,,,,,,
Total Lifespan,12,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Model Year,Headline CPI,Real-World MPG,Real-World CO2 (g/mi),Target,CPI New Car,New Car Cost,Adjust for overall inflation,CPI Gasoline,Gasoline Price per Gallon,Adjust for overall inflation,One Year of Gas,Cost of Gas per Year,Gas Cost Car Lifespan,Total Cost of Car Ownership,Yearly Annual TCO,Average Household Income,Percentage of car cost of annual income,consumption,production,imports,exports,net imports
1975,9.143152237,13.45483,660.6374,0,63,8820,0,45.1,0.59081,0,1001.573413,591.7395879,8439.239244,17259.23924,1438.269937,13779.08,0.104380694,16.322,10.467,6.056,0.209,5.846
1976,5.744812489,14.86139,598.14122,0,67,9380,9326.692461,47,0.6157,0.624750927,906.7792447,558.303981,8443.388628,17823.38863,1485.282386,14921.94,0.099536815,17.461,10.213,7.313,0.223,7.09
1977,6.501684189,15.58566,570.43304,0,70.5,9870,9989.857977,49.7,0.65107,0.65573087,864.6409584,562.9417888,8478.01231,18348.01231,1529.001026,16100,0.094969008,18.431,10.387,8.807,0.243,8.565
1978,7.630959988,16.9376,525.16335,18,75.9,10626,10623.17575,51.8,0.67858,0.700752891,795.6262989,539.8960939,8575.699259,19201.69926,1600.141605,17729.92,0.090250921,18.847,10.771,8.363,0.362,8.002
1979,11.25447464,17.24016,516.66826,19,81.9,11466,11821.90048,70.1,0.91831,0.754950614,781.6632792,717.8092059,8802.774584,20268.77458,1689.064549,19553.94,0.086379755,18.513,10.662,8.456,0.471,7.985
1980,13.54920292,20.01181,446.32303,20,88.5,12390,13019.55161,97.4,1.27594,1.042733685,673.4023559,859.221002,8839.450379,21229.45038,1769.120865,21062.86,0.083992433,17.056,10.767,6.909,0.544,6.365
1981,10.3347168,21.41607,417.9858,22,93.9,13146,13670.47141,108.5,1.42135,1.407804785,629.2471028,894.3803695,8744.24295,21890.24295,1824.186913,22786.93,0.080054089,16.058,10.688,5.996,0.595,5.401
1982,6.131421566,22.2074,402.49487,24,97.5,13650,13952.03668,102.8,1.34668,1.50849896,606.8247521,817.1987572,8602.07835,22252.07835,1854.339863,24308.87,0.076282438,15.296,10.729,5.113,0.815,4.298
1983,3.212433577,22.08496,403.4159,26,99.9,13986,14088.49718,99.4,1.30214,1.3899412,610.1890155,794.5515247,8540.26614,22526.26614,1877.188845,25400.8,0.073902745,15.231,10.734,5.051,0.739,4.312
1984,4.300540447,22.42303,397.02956,27,102.6,14364,14587.47359,97.9,1.28249,1.358139057,600.9892508,770.7627042,8504.19293,22868.19293,1905.682744,27463.88,0.069388693,15.726,11.062,5.437,0.722,4.715
1985,3.545638561,22.9888,386.97474,27.5,106.1,14854,14873.29552,98.7,1.29297,1.32796246,586.1984967,757.9370702,8545.14117,23399.14117,1949.928431,29066.18,0.067085817,15.726,11.138,5.067,0.781,4.286
1986,1.898055434,23.69184,375.22688,27.5,110.6,15484,15135.93715,77.1,1.01001,1.317511287,568.8034361,574.4971585,8596.504396,24080.5044,2006.7087,30758.88,0.065239979,16.281,10.847,6.224,0.785,5.439
1987,3.66455698,23.75972,374.16179,27.5,114.4,16016,16051.42,80.2,1.05062,1.047022392,567.1784011,595.8889718,8729.104603,24745.1046,2062.09205,32409.94,0.063625297,16.665,10.583,6.678,0.764,5.914
1988,4.077741623,24.0868,368.95975,27.5,116.5,16310,16669.0911,80.9,1.05979,1.093461569,559.4765598,592.9276633,8916.316555,25226.31655,2102.193046,34016.82,0.061798635,17.283,10.42,7.402,0.815,6.587
1989,4.827007771,23.64929,375.79709,27.5,119.2,16688,17097.28497,88.5,1.15935,1.110946146,569.826832,660.6287377,9337.23128,26025.23128,2168.769273,36520.22,0.059385438,17.325,9.82,8.061,0.859,7.202
1990,5.39795351,23.29344,381.54137,27.5,121.4,16996,17588.81048,101.2,1.32572,1.221931174,578.5319815,766.9714186,9649.199769,26645.19977,2220.433314,37403.2,0.059364795,16.988,9.597,8.018,0.857,7.161
1991,4.23496294,23.25777,382.16421,27.5,126,17640,17715.7743,99.4,1.30214,1.381863751,579.419265,754.4850018,9785.721563,27425.72156,2285.476797,37921.98,0.060267866,16.714,9.791,7.627,1.001,6.626
1992,3.02882266,22.87528,388.52677,27.5,129.2,18088,18174.28432,99,1.2969,1.341579511,589.1075432,764.0135727,10072.93777,28160.93777,2346.744814,38840.13,0.060420622,17.033,9.64,7.888,0.95,6.938
